 Compound Log(D) +/-
SAMPL5_002 1.5+/-0.3
SAMPL5_003 1.9+/-0.6
SAMPL5_004 2.2+/-0.3
SAMPL5_005 -0.9+/-0.7
SAMPL5_006 -1.0+/-0.7
SAMPL5_007 1.4+/-0.3
SAMPL5_010 -1.7+/-0.6
SAMPL5_011 -3.0+/-0.9
SAMPL5_013 -1.3+/-0.6
SAMPL5_015 -2.3+/-0.3
SAMPL5_017 2.6+/-0.3
SAMPL5_019 1.4+/-0.7
SAMPL5_020 1.7+/-0.3
SAMPL5_021 1.2+/-0.3
SAMPL5_024 1.0+/-0.4
SAMPL5_026 -2.6+/-0.3
SAMPL5_027 -1.9+/-0.8
SAMPL5_033 1.8+/-0.3
SAMPL5_037 -1.5+/-0.3
SAMPL5_042 -1.1+/-0.3
SAMPL5_044 1.1+/-0.4
SAMPL5_045 -2.1+/-0.3
SAMPL5_046 0.2+/-0.3
SAMPL5_047 -0.4+/-0.2
SAMPL5_048 1.0+/-0.3
SAMPL5_049 1.3+/-0.5
SAMPL5_050 -3.4+/-0.5
SAMPL5_055 -1.5+/-0.7
SAMPL5_056 -2.5+/-0.3
SAMPL5_058 0.8+/-0.6
SAMPL5_059 -1.3+/-0.3
SAMPL5_060 -3.9+/-0.4
SAMPL5_061 -1.5+/-0.9
SAMPL5_063 -3.1+/-0.4
SAMPL5_065 0.7+/-0.3
SAMPL5_067 -1.3+/-0.3
SAMPL5_068 1.4+/-0.3
SAMPL5_069 -1.2+/-0.4
SAMPL5_070 1.6+/-0.3
SAMPL5_071 -0.0+/-0.4
SAMPL5_072 0.6+/-0.3
SAMPL5_074 -1.9+/-0.3
SAMPL5_075 -2.8+/-0.3
SAMPL5_080 -2.2+/-0.3
SAMPL5_081 -2.2+/-0.3
SAMPL5_082 2.5+/-0.3
SAMPL5_083 -2.0+/-0.3
SAMPL5_084 -0.0+/-0.3
SAMPL5_085 -2.3+/-0.3
SAMPL5_086 0.7+/-0.3
SAMPL5_088 -1.9+/-0.3
SAMPL5_090 0.7+/-0.3
SAMPL5_092 -0.4+/-0.3
