Compound	Date	Repeat	Replicate	log_D	log_chx	log_pbs
SAMPL5_002	150923-Batch1Set2-wk39-BAS-01-A-CHXPBS.wiff	1	A	1.41	6.63	5.22
SAMPL5_002	150923-Batch1Set2-wk39-BAS-01-B-CHXPBS.wiff	1	B	1.68	6.55	4.88
SAMPL5_002	150923-Batch1Set2-wk39-BAS-01-C-CHXPBS.wiff	1	C	1.03	6.31	5.28
SAMPL5_002	150923-Batch1Set2-wk39-BAS-02-A-CHXPBS.wiff	2	A	1.43	6.58	5.16
SAMPL5_002	150923-Batch1Set2-wk39-BAS-02-B-CHXPBS.wiff	2	B	1.58	6.48	4.90
SAMPL5_002	150923-Batch1Set2-wk39-BAS-02-C-CHXPBS.wiff	2	C	1.67	6.23	4.56
SAMPL5_003	150917-Batch1Set1-wk38-BAS-01-A-CHXPBS.wiff	1	A	2.29	6.85	4.56
SAMPL5_003	150917-Batch1Set1-wk38-BAS-01-B-CHXPBS.wiff	1	B	2.25	6.86	4.61
SAMPL5_003	150917-Batch1Set1-wk38-BAS-01-C-CHXPBS.wiff	1	C	2.31	6.94	4.63
SAMPL5_003	150917-Batch1Set1-wk38-BAS-02-A-CHXPBS.wiff	2	A	2.52	6.87	4.35
SAMPL5_003	150917-Batch1Set1-wk38-BAS-02-B-CHXPBS.wiff	2	B	2.66	6.92	4.27
SAMPL5_003	150917-Batch1Set1-wk38-BAS-02-C-CHXPBS.wiff	2	C	2.78	7.11	4.33
SAMPL5_003	150924-Batch1Set1-wk39-BAS-01-A-CHXPBS.wiff	1	A	1.41	5.19	3.78
SAMPL5_003	150924-Batch1Set1-wk39-BAS-01-B-CHXPBS.wiff	1	B	1.40	5.08	3.68
SAMPL5_003	150924-Batch1Set1-wk39-BAS-01-C-CHXPBS.wiff	1	C	1.43	5.04	3.61
SAMPL5_003	150924-Batch1Set1-wk39-BAS-02-A-CHXPBS.wiff	2	A	1.36	5.22	3.86
SAMPL5_003	150924-Batch1Set1-wk39-BAS-02-B-CHXPBS.wiff	2	B	1.56	5.12	3.56
SAMPL5_003	150924-Batch1Set1-wk39-BAS-02-C-CHXPBS.wiff	2	C	1.38	5.05	3.67
SAMPL5_004	150923-Batch1Set2-wk39-BAS-01-A-CHXPBS.wiff	1	A	2.12	6.13	4.01
SAMPL5_004	150923-Batch1Set2-wk39-BAS-01-B-CHXPBS.wiff	1	B	2.28	6.09	3.81
SAMPL5_004	150923-Batch1Set2-wk39-BAS-01-C-CHXPBS.wiff	1	C	2.34	5.92	3.58
SAMPL5_004	150923-Batch1Set2-wk39-BAS-02-A-CHXPBS.wiff	2	A	2.04	6.14	4.09
SAMPL5_004	150923-Batch1Set2-wk39-BAS-02-B-CHXPBS.wiff	2	B	2.17	6.08	3.91
SAMPL5_004	150923-Batch1Set2-wk39-BAS-02-C-CHXPBS.wiff	2	C	2.34	5.93	3.60
SAMPL5_005	150917-Batch1Set1-wk38-BAS-01-A-CHXPBS.wiff	1	A	-0.21	6.64	6.85
SAMPL5_005	150917-Batch1Set1-wk38-BAS-01-B-CHXPBS.wiff	1	B	-0.22	6.70	6.92
SAMPL5_005	150917-Batch1Set1-wk38-BAS-01-C-CHXPBS.wiff	1	C	-0.19	6.75	6.94
SAMPL5_005	150917-Batch1Set1-wk38-BAS-02-A-CHXPBS.wiff	2	A	-0.20	6.67	6.86
SAMPL5_005	150917-Batch1Set1-wk38-BAS-02-B-CHXPBS.wiff	2	B	-0.23	6.70	6.93
SAMPL5_005	150917-Batch1Set1-wk38-BAS-02-C-CHXPBS.wiff	2	C	-0.14	6.79	6.92
SAMPL5_005	150924-Batch1Set1-wk39-BAS-01-A-CHXPBS.wiff	1	A	-1.68	4.94	6.62
SAMPL5_005	150924-Batch1Set1-wk39-BAS-01-B-CHXPBS.wiff	1	B	-1.45	5.06	6.51
SAMPL5_005	150924-Batch1Set1-wk39-BAS-01-C-CHXPBS.wiff	1	C	-1.40	5.03	6.44
SAMPL5_005	150924-Batch1Set1-wk39-BAS-02-A-CHXPBS.wiff	2	A	-1.46	5.08	6.54
SAMPL5_005	150924-Batch1Set1-wk39-BAS-02-B-CHXPBS.wiff	2	B	-1.54	4.90	6.44
