Compound,logD,uncertainty
SAMPL5_002,1.4,0.1
SAMPL5_003,1.94,0.04
SAMPL5_004,2.2,0.1
SAMPL5_005,-0.86,0.03
SAMPL5_006,-1.02,0.03
SAMPL5_007,1.38,0.09
SAMPL5_010,-1.7,0.1
SAMPL5_011,-2.96,0.03
SAMPL5_013,-1.5,0.1
SAMPL5_015,-2.25,0.09
SAMPL5_017,2.5,0.1
SAMPL5_019,1.2,0.1
SAMPL5_020,1.6,0.1
SAMPL5_021,1.2,0.1
SAMPL5_024,1.0,0.1
SAMPL5_026,-2.58,0.04
SAMPL5_027,-1.87,0.02
SAMPL5_033,1.80,0.08
SAMPL5_037,-1.53,0.03
SAMPL5_042,-1.1,0.1
SAMPL5_044,1.0,0.1
SAMPL5_045,-2.09,0.08
SAMPL5_046,0.20,0.09
SAMPL5_047,-0.37,0.09
SAMPL5_048,0.9,0.1
SAMPL5_049,1.28,0.04
SAMPL5_050,-3.2,0.2
SAMPL5_055,-1.48,0.04
SAMPL5_056,-2.46,0.05
SAMPL5_058,0.82,0.03
SAMPL5_059,-1.33,0.09
SAMPL5_060,-3.87,0.08
SAMPL5_061,-1.45,0.03
SAMPL5_063,-3.0,0.1
SAMPL5_065,0.69,0.07
SAMPL5_067,-1.3,0.1
SAMPL5_068,1.41,0.09
SAMPL5_069,-1.3,0.1
SAMPL5_070,1.61,0.09
SAMPL5_071,-0.1,0.2
SAMPL5_072,0.6,0.1
SAMPL5_074,-1.9,0.1
SAMPL5_075,-2.77,0.09
SAMPL5_080,-2.18,0.07
SAMPL5_081,-2.19,0.09
SAMPL5_082,2.5,0.1
SAMPL5_083,-1.9,0.1
SAMPL5_084,-0.02,0.08
SAMPL5_085,-2.2,0.1
SAMPL5_086,0.70,0.06
SAMPL5_088,-1.9,0.1
SAMPL5_090,0.76,0.08
SAMPL5_092,-0.39,0.09
