	Sample Name	Sample ID	Sample Type	File Name	Analyte Peak Area (counts)	Analyte Peak Height (cps)	Analyte Concentration (ng/mL)	Standard Query Status	Use Record	Record Modified	Calculated Concentration (ng/mL)	Accuracy (%)
1	SAMPL5_001	CHX-E04	Unknown	150917-Batch1Set1-wk38-BAS-01-A-CHXPBS.wiff	2.56e+002	7.00e+001	N/A	N/A		0	0.00	N/A
2	SAMPL5_001	CHX-E04	Unknown	150917-Batch1Set1-wk38-BAS-01-B-CHXPBS.wiff	9.11e+000	1.49e+001	N/A	N/A		0	0.00	N/A
3	SAMPL5_001	CHX-E04	Unknown	150917-Batch1Set1-wk38-BAS-01-C-CHXPBS.wiff	6.32e+001	5.88e+001	N/A	N/A		0	0.00	N/A
4	SAMPL5_001	CHX-M04	Unknown	150917-Batch1Set1-wk38-BAS-02-A-CHXPBS.wiff	1.31e+002	7.65e+001	N/A	N/A		0	0.00	N/A
5	SAMPL5_001	CHX-M04	Unknown	150917-Batch1Set1-wk38-BAS-02-B-CHXPBS.wiff	5.03e+001	6.72e+001	N/A	N/A		0	0.00	N/A
6	SAMPL5_001	CHX-M04	Unknown	150917-Batch1Set1-wk38-BAS-02-C-CHXPBS.wiff	1.05e+000	4.86e+000	N/A	N/A		0	0.00	N/A
7	SAMPL5_001	PBS-E04	Unknown	150917-Batch1Set1-wk38-BAS-01-A-CHXPBS.wiff	1.51e+001	1.79e+001	N/A	N/A		0	0.00	N/A
8	SAMPL5_001	PBS-E04	Unknown	150917-Batch1Set1-wk38-BAS-01-B-CHXPBS.wiff	4.20e+000	6.68e+000	N/A	N/A		0	0.00	N/A
9	SAMPL5_001	PBS-E04	Unknown	150917-Batch1Set1-wk38-BAS-01-C-CHXPBS.wiff	4.67e+001	4.41e+001	N/A	N/A		0	0.00	N/A
10	SAMPL5_001	PBS-M04	Unknown	150917-Batch1Set1-wk38-BAS-02-A-CHXPBS.wiff	8.41e+000	5.89e+000	N/A	N/A		0	0.00	N/A
11	SAMPL5_001	PBS-M04	Unknown	150917-Batch1Set1-wk38-BAS-02-B-CHXPBS.wiff	1.82e+001	3.16e+001	N/A	N/A		0	0.00	N/A
12	SAMPL5_001	PBS-M04	Unknown	150917-Batch1Set1-wk38-BAS-02-C-CHXPBS.wiff	5.85e+001	4.27e+001	N/A	N/A		0	0.00	N/A
13	SAMPL5_034	CHX-G01	Unknown	150917-Batch1Set1-wk38-BAS-01-A-CHXPBS.wiff	9.04e+001	7.93e+001	N/A	N/A		0	0.00	N/A
