	Sample Name	Sample ID	Sample Type	File Name	Analyte Peak Area (counts)	Analyte Peak Height (cps)	Analyte Concentration (ng/mL)	Standard Query Status	Use Record	Record Modified	Calculated Concentration (ng/mL)	Accuracy (%)
1	SAMPL5_014	CHX-B01	Unknown	150923-Batch1Set2-wk39-BAS-01-A-CHXPBS.wiff	2.34e+002	1.33e+002	N/A	N/A		1	0.00	N/A
2	SAMPL5_014	CHX-B01	Unknown	150923-Batch1Set2-wk39-BAS-01-B-CHXPBS.wiff	2.78e+002	1.19e+002	N/A	N/A		0	0.00	N/A
3	SAMPL5_014	CHX-B01	Unknown	150923-Batch1Set2-wk39-BAS-01-C-CHXPBS.wiff	2.69e+002	1.12e+002	N/A	N/A		0	0.00	N/A
4	SAMPL5_014	CHX-J01	Unknown	150923-Batch1Set2-wk39-BAS-02-A-CHXPBS.wiff	3.24e+002	1.22e+002	N/A	N/A		0	0.00	N/A
5	SAMPL5_014	CHX-J01	Unknown	150923-Batch1Set2-wk39-BAS-02-B-CHXPBS.wiff	3.65e+002	1.50e+002	N/A	N/A		0	0.00	N/A
6	SAMPL5_014	CHX-J01	Unknown	150923-Batch1Set2-wk39-BAS-02-C-CHXPBS.wiff	1.74e+002	1.07e+002	N/A	N/A		0	0.00	N/A
7	SAMPL5_014	PBS-B01	Unknown	150923-Batch1Set2-wk39-BAS-01-A-CHXPBS.wiff	7.38e+004	6.90e+004	N/A	N/A		0	0.00	N/A
8	SAMPL5_014	PBS-B01	Unknown	150923-Batch1Set2-wk39-BAS-01-B-CHXPBS.wiff	4.86e+004	4.81e+004	N/A	N/A		0	0.00	N/A
9	SAMPL5_014	PBS-B01	Unknown	150923-Batch1Set2-wk39-BAS-01-C-CHXPBS.wiff	5.73e+004	5.86e+004	N/A	N/A		0	0.00	N/A
10	SAMPL5_014	PBS-J01	Unknown	150923-Batch1Set2-wk39-BAS-02-A-CHXPBS.wiff	2.30e+004	2.11e+004	N/A	N/A		0	0.00	N/A
11	SAMPL5_014	PBS-J01	Unknown	150923-Batch1Set2-wk39-BAS-02-B-CHXPBS.wiff	2.44e+004	2.41e+004	N/A	N/A		0	0.00	N/A
12	SAMPL5_014	PBS-J01	Unknown	150923-Batch1Set2-wk39-BAS-02-C-CHXPBS.wiff	2.72e+004	2.69e+004	N/A	N/A		0	0.00	N/A
13	SAMPL5_013	CHX-B02	Unknown	150923-Batch1Set2-wk39-BAS-01-A-CHXPBS.wiff	1.07e+003	5.23e+002	N/A	N/A		0	0.00	N/A
14	SAMPL5_013	CHX-B02	Unknown	150923-Batch1Set2-wk39-BAS-01-B-CHXPBS.wiff	1.29e+003	6.36e+002	N/A	N/A		0	0.00	N/A
15	SAMPL5_013	CHX-B02	Unknown	150923-Batch1Set2-wk39-BAS-01-C-CHXPBS.wiff	6.86e+002	3.69e+002	N/A	N/A		0	0.00	N/A
16	SAMPL5_013	CHX-J02	Unknown	150923-Batch1Set2-wk39-BAS-02-A-CHXPBS.wiff	4.10e+002	2.37e+002	N/A	N/A		0	0.00	N/A
17	SAMPL5_013	CHX-J02	Unknown	150923-Batch1Set2-wk39-BAS-02-B-CHXPBS.wiff	5.01e+002	2.42e+002	N/A	N/A		0	0.00	N/A
18	SAMPL5_013	CHX-J02	Unknown	150923-Batch1Set2-wk39-BAS-02-C-CHXPBS.wiff	3.23e+002	1.73e+002	N/A	N/A		0	0.00	N/A
19	SAMPL5_013	PBS-B02	Unknown	150923-Batch1Set2-wk39-BAS-01-A-CHXPBS.wiff	4.16e+004	1.55e+004	N/A	N/A		0	0.00	N/A
20	SAMPL5_013	PBS-B02	Unknown	150923-Batch1Set2-wk39-BAS-01-B-CHXPBS.wiff	6.22e+005	2.18e+005	N/A	N/A		0	0.00	N/A
21	SAMPL5_013	PBS-B02	Unknown	150923-Batch1Set2-wk39-BAS-01-C-CHXPBS.wiff	4.59e+005	1.56e+005	N/A	N/A		0	0.00	N/A
22	SAMPL5_013	PBS-J02	Unknown	150923-Batch1Set2-wk39-BAS-02-A-CHXPBS.wiff	1.74e+005	7.07e+004	N/A	N/A		0	0.00	N/A
23	SAMPL5_013	PBS-J02	Unknown	150923-Batch1Set2-wk39-BAS-02-B-CHXPBS.wiff	5.59e+005	2.12e+005	N/A	N/A		0	0.00	N/A
24	SAMPL5_013	PBS-J02	Unknown	150923-Batch1Set2-wk39-BAS-02-C-CHXPBS.wiff	4.12e+005	1.46e+005	N/A	N/A		0	0.00	N/A
25	SAMPL5_018	CHX-D01	Unknown	150923-Batch1Set2-wk39-BAS-01-A-CHXPBS.wiff	3.94e+001	1.67e+001	N/A	N/A		1	0.00	N/A
26	SAMPL5_018	CHX-D01	Unknown	150923-Batch1Set2-wk39-BAS-01-B-CHXPBS.wiff	4.37e+001	1.41e+001	N/A	N/A		1	0.00	N/A
27	SAMPL5_018	CHX-D01	Unknown	150923-Batch1Set2-wk39-BAS-01-C-CHXPBS.wiff	2.59e+001	2.02e+001	N/A	N/A		1	0.00	N/A
28	SAMPL5_018	CHX-L01	Unknown	150923-Batch1Set2-wk39-BAS-02-A-CHXPBS.wiff	7.02e+001	3.06e+001	N/A	N/A		1	0.00	N/A
29	SAMPL5_018	CHX-L01	Unknown	150923-Batch1Set2-wk39-BAS-02-B-CHXPBS.wiff	3.04e+001	1.61e+001	N/A	N/A		1	0.00	N/A
30	SAMPL5_018	CHX-L01	Unknown	150923-Batch1Set2-wk39-BAS-02-C-CHXPBS.wiff	2.57e+001	9.84e+000	N/A	N/A		1	0.00	N/A
31	SAMPL5_018	PBS-D01	Unknown	150923-Batch1Set2-wk39-BAS-01-A-CHXPBS.wiff	4.48e+006	1.98e+006	N/A	N/A		0	0.00	N/A
32	SAMPL5_018	PBS-D01	Unknown	150923-Batch1Set2-wk39-BAS-01-B-CHXPBS.wiff	3.55e+006	1.62e+006	N/A	N/A		0	0.00	N/A
33	SAMPL5_018	PBS-D01	Unknown	150923-Batch1Set2-wk39-BAS-01-C-CHXPBS.wiff	2.56e+006	1.24e+006	N/A	N/A		0	0.00	N/A
34	SAMPL5_018	PBS-L01	Unknown	150923-Batch1Set2-wk39-BAS-02-A-CHXPBS.wiff	4.94e+006	2.14e+006	N/A	N/A		0	0.00	N/A
35	SAMPL5_018	PBS-L01	Unknown	150923-Batch1Set2-wk39-BAS-02-B-CHXPBS.wiff	3.43e+006	1.55e+006	N/A	N/A		0	0.00	N/A
36	SAMPL5_018	PBS-L01	Unknown	150923-Batch1Set2-wk39-BAS-02-C-CHXPBS.wiff	2.51e+006	1.21e+006	N/A	N/A		0	0.00	N/A
