# Second set of samples for SAMPL_086 (STD-32) manually renamed to be repeat 03 and 04
	Sample Name	Sample ID	Sample Type	File Name	Analyte Peak Area (counts)	Analyte Peak Height (cps)	Analyte Concentration (ng/mL)	Standard Query Status	Use Record	Record Modified	Calculated Concentration (ng/mL)	Accuracy (%)
1	SAMPL5_065	CHX-A01	Unknown	150925-STD-wk39-BAS-01-A-CHXPBS.wiff	6.14e+003	3.46e+003	N/A	N/A		0	0.00	N/A
2	SAMPL5_065	CHX-A01	Unknown	150925-STD-wk39-BAS-01-B-CHXPBS.wiff	3.99e+003	2.32e+003	N/A	N/A		0	0.00	N/A
3	SAMPL5_065	CHX-A01	Unknown	150925-STD-wk39-BAS-01-C-CHXPBS.wiff	5.92e+003	3.22e+003	N/A	N/A		0	0.00	N/A
4	SAMPL5_065	CHX-I01	Unknown	150925-STD-wk39-BAS-02-A-CHXPBS.wiff	7.79e+003	4.43e+003	N/A	N/A		0	0.00	N/A
5	SAMPL5_065	CHX-I01	Unknown	150925-STD-wk39-BAS-02-B-CHXPBS.wiff	4.10e+003	2.24e+003	N/A	N/A		0	0.00	N/A
6	SAMPL5_065	CHX-I01	Unknown	150925-STD-wk39-BAS-02-C-CHXPBS.wiff	6.36e+003	3.51e+003	N/A	N/A		0	0.00	N/A
7	SAMPL5_065	PBS-A01	Unknown	150925-STD-wk39-BAS-01-A-CHXPBS.wiff	2.67e+004	1.37e+004	N/A	N/A		0	0.00	N/A
8	SAMPL5_065	PBS-A01	Unknown	150925-STD-wk39-BAS-01-B-CHXPBS.wiff	2.18e+004	1.24e+004	N/A	N/A		0	0.00	N/A
9	SAMPL5_065	PBS-A01	Unknown	150925-STD-wk39-BAS-01-C-CHXPBS.wiff	1.63e+004	8.74e+003	N/A	N/A		0	0.00	N/A
10	SAMPL5_065	PBS-I01	Unknown	150925-STD-wk39-BAS-02-A-CHXPBS.wiff	3.30e+004	1.89e+004	N/A	N/A		0	0.00	N/A
11	SAMPL5_065	PBS-I01	Unknown	150925-STD-wk39-BAS-02-B-CHXPBS.wiff	2.66e+004	1.50e+004	N/A	N/A		0	0.00	N/A
12	SAMPL5_065	PBS-I01	Unknown	150925-STD-wk39-BAS-02-C-CHXPBS.wiff	1.62e+004	8.68e+003	N/A	N/A		0	0.00	N/A
13	SAMPL5_066	CHX-B01	Unknown	150925-STD-wk39-BAS-01-A-CHXPBS.wiff	1.26e+002	3.74e+001	N/A	N/A		1	0.00	N/A
14	SAMPL5_066	CHX-B01	Unknown	150925-STD-wk39-BAS-01-B-CHXPBS.wiff	1.18e+002	3.55e+001	N/A	N/A		1	0.00	N/A
15	SAMPL5_066	CHX-B01	Unknown	150925-STD-wk39-BAS-01-C-CHXPBS.wiff	8.40e+001	2.58e+001	N/A	N/A		1	0.00	N/A
16	SAMPL5_066	CHX-J01	Unknown	150925-STD-wk39-BAS-02-A-CHXPBS.wiff	9.42e+001	3.29e+001	N/A	N/A		1	0.00	N/A
17	SAMPL5_066	CHX-J01	Unknown	150925-STD-wk39-BAS-02-B-CHXPBS.wiff	9.67e+001	2.67e+001	N/A	N/A		1	0.00	N/A
18	SAMPL5_066	CHX-J01	Unknown	150925-STD-wk39-BAS-02-C-CHXPBS.wiff	8.91e+001	2.49e+001	N/A	N/A		1	0.00	N/A
19	SAMPL5_066	PBS-B01	Unknown	150925-STD-wk39-BAS-01-A-CHXPBS.wiff	7.73e+005	2.66e+005	N/A	N/A		0	0.00	N/A
20	SAMPL5_066	PBS-B01	Unknown	150925-STD-wk39-BAS-01-B-CHXPBS.wiff	8.80e+005	4.71e+005	N/A	N/A		0	0.00	N/A
21	SAMPL5_066	PBS-B01	Unknown	150925-STD-wk39-BAS-01-C-CHXPBS.wiff	4.41e+005	1.26e+005	N/A	N/A		0	0.00	N/A
